년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
Jan-12,143,0.8,-9.2,10.4
Feb-12,143,1.1,-12.4,13.5
Mar-12,143,7.7,-3.4,20.8
Apr-12,143,15.1,2.4,30.2
May-12,143,20.1,11,31.8
Jun-12,143,23.2,15.6,31.9
Jul-12,143,27.5,20.1,37.2
Aug-12,143,27.9,20.1,36.3
Sep-12,143,21.7,11.9,31
Oct-12,143,15.8,6.4,26.1
Nov-12,143,8.2,-1.9,18.4
Dec-12,143,-0.3,-9.9,12.1
Jan-13,143,-0.1,-11.6,13.4
Feb-13,143,2.6,-12.5,19.4
Mar-13,143,9.8,-2.3,26.9
Apr-13,143,12.3,1,28.4
May-13,143,20.3,8.7,34.4
Jun-13,143,24.3,15,34.4
Jul-13,143,28.7,22.3,35.9
Aug-13,143,29,21.7,37.9
Sep-13,143,23,13.6,33
Oct-13,143,17.2,6,28.2
Nov-13,143,8.9,-2.4,22.8
Dec-13,143,3.5,-4.7,13.3
Jan-14,143,2.8,-6.2,15.3
Feb-14,143,4.5,-7,20.4
Mar-14,143,9.7,-1.1,26.4
Apr-14,143,15.5,4.6,27.9
May-14,143,21.2,8.5,37.4
Jun-14,143,23.4,15.4,33.4
Jul-14,143,27,20.1,37.5
Aug-14,143,24.7,17.3,33.9
Sep-14,143,22.5,13.7,32.3
Oct-14,143,16.4,6.7,26
Nov-14,143,10.3,0,20.5
Dec-14,143,1.2,-7.4,11.8
Jan-15,143,2.3,-6.1,11.8
Feb-15,143,3.8,-8.9,14.7
Mar-15,143,9.2,-4.8,24.1
Apr-15,143,14.6,3.9,30
May-15,143,21.7,9.6,34.5
Jun-15,143,22.9,12.9,35
Jul-15,143,25,16.8,37
Aug-15,143,26,18.3,38.3
Sep-15,143,20.6,12.8,30
Oct-15,143,15.8,2.8,26.9
Nov-15,143,11,-0.3,21.8
Dec-15,143,4.5,-5.6,13.5
Jan-16,143,-0.2,-13,13.9
Feb-16,143,3.1,-6.1,15.9
Mar-16,143,8.8,-4.6,22.4
Apr-16,143,14.9,4,27.2
May-16,143,20,8.2,32.3
Jun-16,143,23.4,12.3,33.5
Jul-16,143,26.4,19.4,36.1
Aug-16,143,27.6,16.9,38.1
Sep-16,143,21.9,13.1,32.2
Oct-16,143,16.6,5.7,27.6
Nov-16,143,8.8,-3,20.4
Dec-16,143,4,-5.1,16.6
Jan-17,143,1.1,-9,13
Feb-17,143,3.2,-6.2,17.1
Mar-17,143,7.9,-2.5,20.2
Apr-17,143,15.7,2.1,31.1
May-17,143,20.8,8.5,35.9
Jun-17,143,23.3,12.2,36.3
Jul-17,143,28,19.1,38.4
Aug-17,143,26.4,15.5,37
Sep-17,143,21.5,9.2,30.4
Oct-17,143,16.2,1.7,29.1
Nov-17,143,7.8,-3.5,22.2
Dec-17,143,0.7,-10.2,12.8
Jan-18,143,-0.9,-13.9,13.2
Feb-18,143,1.3,-10.9,15
Mar-18,143,9.2,-2.8,25.9
Apr-18,143,15,0.5,32
May-18,143,19.2,7.2,32
Jun-18,143,23.6,13.7,35.3
Jul-18,143,28.2,17.6,39.2
Aug-18,143,27.7,18.4,38.7
Sep-18,143,21,10.4,30.4
Oct-18,143,14.3,2.8,25.8
Nov-18,143,8.8,-2.7,21.2
Dec-18,143,2,-8.8,16.1
Jan-19,143,1.7,-7.2,12.5
Feb-19,143,4,-4.7,15.7
Mar-19,143,9.4,-1.5,24.2
Apr-19,143,13.5,0.2,27.1
May-19,143,20.7,7.2,34.5
Jun-19,143,22.8,14.5,35.7
Jul-19,143,25.8,18.8,36
Aug-19,143,27.4,17.9,36.9
Sep-19,143,22.6,12.5,32.5
Oct-19,143,16.8,3.9,28.6
Nov-19,143,9.8,-2.6,23.2
Dec-19,143,3.5,-5.9,16.6
Jan-20,143,3.8,-4.9,15.7
Feb-20,143,4.9,-7.5,18.5
Mar-20,143,9.5,-2.9,25.4
Apr-20,143,12.6,1.3,28
May-20,143,19.4,9.1,31.3
Jun-20,143,24.5,15,37
Jul-20,143,23.2,16.8,32.8
Aug-20,143,28.6,22.5,36.3
Sep-20,143,21.2,11.7,30.8
Oct-20,143,15.4,5.3,27.3
Nov-20,143,9.7,-0.8,25.3
Dec-20,143,1.6,-10.3,12.6
Jan-21,143,0.5,-13.6,16.1
Feb-21,143,4.8,-8.5,24.4
Mar-21,143,10.2,-1.5,23.9
Apr-21,143,14.5,2.5,29.5
May-21,143,18.3,7.1,30.8
Jun-21,143,23.2,13.7,33.9
Jul-21,143,26.9,19.6,37.2
Aug-21,143,25.7,19.7,37
Sep-21,143,22.1,15.1,30.9
Oct-21,143,16.5,2,31.8
Nov-21,143,9.5,-2.2,20.8
Dec-21,143,3.1,-10.8,14.9
Jan-22,143,0.9,-8.8,12.8
Feb-22,143,1.6,-9.3,15.1
Mar-22,143,9.7,-2.2,23.3
Apr-22,143,15.9,1.2,30.2
May-22,143,20.7,6.5,33.2
Jun-22,143,24.3,13.3,37.1
Jul-22,143,27.5,21.4,36.8
