기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 대구
기간 : 20110101~20111231

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2011-01-01,143,-2.4,-7.2,2.7
2011-01-02,143,-0.2,-5.9,6.4
2011-01-03,143,-1.1,-6.3,1.5
2011-01-04,143,0,-2.4,3.8
2011-01-05,143,0.4,-2.7,5.9
2011-01-06,143,-2.3,-5.1,1.1
2011-01-07,143,-3.1,-7.3,2
2011-01-08,143,0.2,-7.5,6.3
2011-01-09,143,-0.8,-6.2,3
2011-01-10,143,-4.3,-8.2,0.3
2011-01-11,143,-1.8,-7.1,3.8
2011-01-12,143,-3.1,-5.5,0.1
2011-01-13,143,-2.7,-6.8,2.8
2011-01-14,143,-1,-8.2,5.5
2011-01-15,143,-5.9,-12.3,0.1
2011-01-16,143,-8.5,-13.1,-3.2
2011-01-17,143,-4.6,-9.7,1
2011-01-18,143,-2.1,-5.7,1.7
2011-01-19,143,-1.9,-5.6,2.7
2011-01-20,143,-2.5,-5.4,1.4
2011-01-21,143,-2.4,-6,2.7
2011-01-22,143,-0.5,-4.8,5.2
2011-01-23,143,0.6,-2.2,4.1
2011-01-24,143,-2.7,-5.9,0.6
2011-01-25,143,-3.7,-7.3,1.7
2011-01-26,143,-3.1,-5.9,1.4
2011-01-27,143,-3.6,-7.1,1.4
2011-01-28,143,-2.3,-5.4,2.3
2011-01-29,143,-4.3,-6.5,-0.6
2011-01-30,143,-5.3,-8.4,-1.1
2011-01-31,143,-2.6,-7.8,2.7
2011-02-01,143,1.9,-3.3,8.7
2011-02-02,143,3.7,-2.4,10.7
2011-02-03,143,3.3,-3.4,11.1
2011-02-04,143,4.2,-2.7,11.9
2011-02-05,143,4.8,-0.8,11.5
2011-02-06,143,5.8,-0.3,11.9
2011-02-07,143,5.4,1.3,10.2
2011-02-08,143,3.8,2.1,5.2
2011-02-09,143,3.8,0.1,8.6
2011-02-10,143,1.8,-2.6,5.3
2011-02-11,143,1.4,-1,4.4
2011-02-12,143,-1,-3.6,3.8
2011-02-13,143,-0.7,-6,5
2011-02-14,143,-1.2,-2.6,0.9
2011-02-15,143,1.1,-4.9,6.9
2011-02-16,143,3.2,-3.9,10
2011-02-17,143,3.4,2.1,4.9
2011-02-18,143,4,-0.8,9.2
2011-02-19,143,5.1,-1.2,11.2
2011-02-20,143,5.7,-0.4,12.6
2011-02-21,143,5.7,0.8,11.3
2011-02-22,143,7.1,1.9,12.9
2011-02-23,143,7.4,0.5,15.2
2011-02-24,143,10.9,2.3,19.4
2011-02-25,143,8.4,4.4,13.9
2011-02-26,143,7.1,1,12.8
2011-02-27,143,6.1,4.4,7.9
2011-02-28,143,6.4,5.5,8.1
2011-03-01,143,5.2,1.8,8.8
2011-03-02,143,1.6,-1,6.6
2011-03-03,143,0.8,-3.4,5.7
2011-03-04,143,3,-1.9,8.8
2011-03-05,143,5.4,-0.2,11
2011-03-06,143,7.7,3,12.9
2011-03-07,143,5.8,2,10
2011-03-08,143,5,-0.2,11.1
2011-03-09,143,3.6,0.3,7.9
2011-03-10,143,4.4,-0.8,11.4
2011-03-11,143,7.5,0.9,13.8
2011-03-12,143,9.6,2.4,17.3
2011-03-13,143,11.9,3.7,20.2
2011-03-14,143,12.9,7.6,20.1
2011-03-15,143,6.7,0,10.6
2011-03-16,143,2.5,-1.2,7.5
2011-03-17,143,4.1,-1.1,10.2
2011-03-18,143,7.6,-1,14.6
2011-03-19,143,12.8,6.7,18.3
2011-03-20,143,8.6,6.8,13
2011-03-21,143,10,6.2,13.8
2011-03-22,143,5.8,2.4,10.3
2011-03-23,143,4.7,-0.6,10.3
2011-03-24,143,7.3,1,12.6
2011-03-25,143,4.8,2.3,8.8
2011-03-26,143,5.7,0.5,11.2
2011-03-27,143,8.4,1.6,13.8
2011-03-28,143,9.6,4.9,15.2
2011-03-29,143,8.3,2.3,13.5
2011-03-30,143,11.5,4,19
2011-03-31,143,14.3,6,22.5
2011-04-01,143,15.1,6.6,23.4
2011-04-02,143,10.9,8,14.2
2011-04-03,143,8,5.3,12.7
2011-04-04,143,8.5,1.8,15.3
2011-04-05,143,11.5,2.5,20.2
2011-04-06,143,13.7,5.1,21.1
2011-04-07,143,14,11,17.2
2011-04-08,143,13.9,10.4,18.7
2011-04-09,143,13.6,6.5,20.9
2011-04-10,143,15.9,6.5,24
2011-04-11,143,12.2,8.6,17.2
2011-04-12,143,13.7,4.5,21.5
2011-04-13,143,15.8,8.4,23.4
2011-04-14,143,17.1,10.9,24.4
2011-04-15,143,20.6,12,28.6
2011-04-16,143,13,9.2,19.1
2011-04-17,143,12.3,5.4,20.5
2011-04-18,143,9.7,7.2,14.4
2011-04-19,143,11.1,7,16.5
2011-04-20,143,13.7,5,22.1
2011-04-21,143,16,8.9,22.7
2011-04-22,143,12.6,11.3,15.6
2011-04-23,143,13.1,9.9,17.7
2011-04-24,143,12.9,7.9,18.2
2011-04-25,143,15.4,8.4,21.5
2011-04-26,143,12.8,10.2,15.7
2011-04-27,143,16.1,12.1,22.7
2011-04-28,143,12.2,7.9,18.1
2011-04-29,143,14.9,6.7,21.9
2011-04-30,143,21,16.2,25.9
2011-05-01,143,18.4,14.3,22.1
2011-05-02,143,18.5,13.1,24.4
2011-05-03,143,19.8,15.2,25.4
2011-05-04,143,16.8,11.6,23.3
2011-05-05,143,16,11.7,22.7
2011-05-06,143,15.1,9.3,20
2011-05-07,143,21.1,15.9,27.5
2011-05-08,143,21,14.6,29.1
2011-05-09,143,21.8,14.7,27.4
2011-05-10,143,20.1,14.6,27
2011-05-11,143,14.2,13,15.5
2011-05-12,143,16.2,12.4,20.2
2011-05-13,143,18.8,11.8,25.3
2011-05-14,143,20.3,12.8,26.7
2011-05-15,143,21.2,12.3,28.4
2011-05-16,143,20.7,16.9,25.1
2011-05-17,143,19.6,12.6,26
2011-05-18,143,20.9,12.7,29.1
2011-05-19,143,22.4,16.3,28
2011-05-20,143,23.7,19.9,28.6
2011-05-21,143,21.4,15,28.8
2011-05-22,143,18,14.1,22.5
2011-05-23,143,16.1,12.4,19.3
2011-05-24,143,18.2,9.7,26.4
2011-05-25,143,18.1,14.5,23.4
2011-05-26,143,15.2,14.4,16.4
2011-05-27,143,15.7,14.2,16.9
2011-05-28,143,17.8,14.8,23.2
2011-05-29,143,19,14.7,25.9
2011-05-30,143,18.9,13.6,27.7
2011-05-31,143,16.8,14.9,18.5
2011-06-01,143,19.3,15.3,25.3
2011-06-02,143,20.1,16.1,26.9
2011-06-03,143,23.2,16.9,29.7
2011-06-04,143,24.1,18.8,30
2011-06-05,143,24.6,18.3,30.9
2011-06-06,143,24.5,17.3,30.7
2011-06-07,143,25.6,18.9,32
2011-06-08,143,25.7,19.6,31.4
2011-06-09,143,25.1,20.7,29.2
2011-06-10,143,23.2,21,27.6
2011-06-11,143,25.5,19.8,32.2
2011-06-12,143,24.6,20.8,29.7
2011-06-13,143,23.7,19.6,29.4
2011-06-14,143,24.1,19.2,29.4
2011-06-15,143,23.4,19.7,27.8
2011-06-16,143,22.5,19,27.7
2011-06-17,143,23.6,16.5,30.4
2011-06-18,143,23.7,19.8,28.4
2011-06-19,143,24.3,17.9,30.5
2011-06-20,143,25.2,19.1,31.9
2011-06-21,143,28.1,21.5,34.5
2011-06-22,143,25.2,22.5,28.1
2011-06-23,143,28.9,24.1,33
