년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
Jan-12,119,-2.7,-12.7,8.7
Feb-12,119,-1.9,-16.2,12.5
Mar-12,119,5.1,-5.1,17.7
Apr-12,119,12.1,0.8,29.1
May-12,119,19.1,9.7,29.1
Jun-12,119,23.6,14.9,33.9
Jul-12,119,25.5,18,33.3
Aug-12,119,27.3,17.9,37.4
Sep-12,119,20.8,11.3,29.5
Oct-12,119,14.8,2.1,26.1
Nov-12,119,5.7,-4.2,16.3
Dec-12,119,-3.9,-14.4,9.6
Jan-13,119,-3.4,-18.1,13.7
Feb-13,119,-1,-14.8,15.2
Mar-13,119,4.8,-4.8,25
Apr-13,119,9.7,-0.1,22.4
May-13,119,17.6,6.8,31.1
Jun-13,119,23.5,13.2,32.1
Jul-13,119,25.5,19.6,31.1
Aug-13,119,27.4,19.6,34.7
Sep-13,119,21.7,10.4,31.2
Oct-13,119,15.7,3.6,28.6
Nov-13,119,6.2,-5.4,21.8
Dec-13,119,0,-9.9,11.5
Jan-14,119,-0.6,-10.8,9.3
Feb-14,119,2.1,-9.6,16
Mar-14,119,7.6,-4.2,24.7
Apr-14,119,13.3,1.4,26.3
May-14,119,18.2,6,33.2
Jun-14,119,22.9,17.2,30.6
Jul-14,119,25.6,19.7,34.6
Aug-14,119,24.7,18.2,34.3
Sep-14,119,21.8,12.8,31.4
Oct-14,119,15.2,1.9,28.2
Nov-14,119,8.5,-1.9,21.3
Dec-14,119,-2,-11.1,8.7
Jan-15,119,-0.5,-10.2,9.3
Feb-15,119,1.3,-11.7,12.9
Mar-15,119,6,-6,21.8
Apr-15,119,13.1,3,27.4
May-15,119,18.2,7.3,31.8
Jun-15,119,23.1,13.9,33.6
Jul-15,119,25.5,16.8,35
Aug-15,119,26.2,18.2,35.3
Sep-15,119,22.1,12.8,30.8
Oct-15,119,15.3,-0.1,26.7
Nov-15,119,9.5,-4.8,20.7
Dec-15,119,2.4,-9.3,13.4
Jan-16,119,-2.1,-16.2,10.7
Feb-16,119,0.9,-10.5,16.6
Mar-16,119,7,-7,22.2
Apr-16,119,13.9,4.1,29.7
May-16,119,19.1,8.1,31.8
Jun-16,119,23.2,15.3,31.4
Jul-16,119,26,19.8,34.2
Aug-16,119,27.7,16.1,36.5
Sep-16,119,22.7,14.1,31.5
Oct-16,119,15.7,0,28.9
Nov-16,119,7,-4.6,20
Dec-16,119,1.7,-9.5,14.6
Jan-17,119,-1.5,-13.6,11.9
Feb-17,119,0,-9.8,13
Mar-17,119,5.7,-5.6,18.7
Apr-17,119,13.2,1.8,28.1
May-17,119,18.4,8.6,30.3
Jun-17,119,22.4,12.5,33.2
Jul-17,119,26.5,21.4,35.8
Aug-17,119,25.5,15.1,36.9
Sep-17,119,21.2,8.6,29.8
Oct-17,119,15.4,0.3,28.6
Nov-17,119,5.7,-6.1,20
Dec-17,119,-1.4,-11.5,9
Jan-18,119,-3.6,-16.8,8.9
Feb-18,119,-1.6,-14.6,11.1
Mar-18,119,7.9,-6.2,23.2
Apr-18,119,12.6,0,27.3
May-18,119,17.9,6.9,29.5
Jun-18,119,22.6,14,33.3
Jul-18,119,27.5,18.5,37.5
Aug-18,119,28.4,19,39.3
Sep-18,119,21.1,9.2,30.7
Oct-18,119,12.6,-0.2,25.6
Nov-18,119,7.7,-4.3,20.6
Dec-18,119,-0.3,-13.2,13.4
Jan-19,119,-1.1,-10.7,9.2
Feb-19,119,0.8,-9.5,14.8
Mar-19,119,6.6,-3.3,18.2
Apr-19,119,11.7,-1.9,29.2
May-19,119,18.4,6.7,32.6
Jun-19,119,22.1,12.4,32.7
Jul-19,119,25.8,18.4,35.1
Aug-19,119,26.8,17.4,36.5
Sep-19,119,22.3,11.7,30.4
Oct-19,119,16,3,27.8
Nov-19,119,7.5,-3.9,20.7
Dec-19,119,1.5,-10.8,14.3
Jan-20,119,1.6,-7,12.2
Feb-20,119,2.4,-11.9,15.3
Mar-20,119,7.1,-3.8,20.9
Apr-20,119,10.5,1.1,23.8
May-20,119,17.6,8.6,29.7
Jun-20,119,23,13,34
Jul-20,119,23.8,17.5,33
Aug-20,119,26.7,21.7,34.9
Sep-20,119,21.1,12.6,29.7
Oct-20,119,13.8,2.2,24.3
Nov-20,119,7.7,-5,20.7
Dec-20,119,-0.4,-12.6,11.4
Jan-21,119,-2.4,-18.6,14.2
Feb-21,119,2.2,-10.3,18.5
Mar-21,119,8.1,-2.1,22.9
Apr-21,119,13.5,3,28.6
May-21,119,16.5,6.2,30.4
Jun-21,119,22.5,12.6,32.3
Jul-21,119,27.7,20.2,36.3
Aug-21,119,25.7,18.7,34.4
Sep-21,119,22.6,15.5,29.9
Oct-21,119,15.6,1.4,28.7
Nov-21,119,7.9,-3.2,21.8
Dec-21,119,0.7,-14.3,13.6
Jan-22,119,-2.2,-11.7,9.6
Feb-22,119,-1.1,-10.6,11.5
Mar-22,119,7.1,-4.2,20.5
Apr-22,119,13.5,1.3,26.2
May-22,119,18.1,6.4,29.6
Jun-22,119,23.1,13.7,31.7
Jul-22,119,26.7,21.1,34.8
