기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 수원
기간 : 20110101~20111231

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2011-01-01,119,-8.1,-14.4,-1.8
2011-01-02,119,-7.2,-13.1,0
2011-01-03,119,-6,-12.9,0
2011-01-04,119,-4.4,-11.3,0.1
2011-01-05,119,-3.2,-6.5,-0.4
2011-01-06,119,-7.1,-10.5,-3.5
2011-01-07,119,-7.7,-13.9,-1.4
2011-01-08,119,-3.9,-11.6,1.1
2011-01-09,119,-5.7,-10.3,0.2
2011-01-10,119,-8.2,-14.5,-3.1
2011-01-11,119,-5.2,-9,-1.6
2011-01-12,119,-7.8,-11.2,-3.8
2011-01-13,119,-7.5,-15,0.8
2011-01-14,119,-3.1,-8.7,3.2
2011-01-15,119,-11.2,-15.4,-5.5
2011-01-16,119,-13.3,-16.9,-9.8
2011-01-17,119,-10.6,-16.8,-4.3
2011-01-18,119,-7.1,-13.6,-1.9
2011-01-19,119,-6.1,-11,-2.1
2011-01-20,119,-8.2,-11.6,-4.5
2011-01-21,119,-7.1,-12,-1.8
2011-01-22,119,-4.6,-10.7,0.5
2011-01-23,119,-4.1,-7.6,-0.6
2011-01-24,119,-8,-12.4,-4.3
2011-01-25,119,-9.8,-14.9,-4.2
2011-01-26,119,-9.1,-14.3,-4.1
2011-01-27,119,-8.5,-14.2,-4.4
2011-01-28,119,-7.1,-9.7,-2.6
2011-01-29,119,-8.2,-12.6,-4.7
2011-01-30,119,-9.2,-12.9,-5.1
2011-01-31,119,-7.6,-16.3,-1.3
2011-02-01,119,-2.3,-9.5,5.8
2011-02-02,119,-0.1,-5.7,7.2
2011-02-03,119,0,-4.4,5.7
2011-02-04,119,0.8,-2.4,4.6
2011-02-05,119,0.3,-2.4,5.3
2011-02-06,119,0.4,-3.2,3.3
2011-02-07,119,-0.2,-3.1,3.3
2011-02-08,119,3,-2.1,8.7
2011-02-09,119,-0.9,-3.8,2.3
2011-02-10,119,-2.2,-5.2,2
2011-02-11,119,-3.2,-7.8,1.6
2011-02-12,119,-5.5,-8.2,-2
2011-02-13,119,-5.4,-11.2,0.5
2011-02-14,119,-3.9,-8.6,-0.2
2011-02-15,119,-2.7,-7.8,3.7
2011-02-16,119,-1.5,-7.9,4.4
2011-02-17,119,0.1,-2.6,4
2011-02-18,119,0.1,-5.3,7.6
2011-02-19,119,0.1,-5.9,7.8
2011-02-20,119,4.3,-5,13.3
2011-02-21,119,4.9,-0.8,12.6
2011-02-22,119,4,-2.8,13.4
2011-02-23,119,3.2,-4.2,12.2
2011-02-24,119,4.8,-1.7,11.6
2011-02-25,119,2.2,-1.9,7.4
2011-02-26,119,6.1,-3.6,13.4
2011-02-27,119,5.5,3.1,8.1
2011-02-28,119,4,1.9,6.6
2011-03-01,119,1,-1.7,3.8
2011-03-02,119,-1.4,-4,2
2011-03-03,119,-1.5,-6.7,2.3
2011-03-04,119,-0.2,-5.7,5.4
2011-03-05,119,1.1,-3.8,6.9
2011-03-06,119,3.3,-1.4,8.7
2011-03-07,119,2.1,-0.5,5.8
2011-03-08,119,1.9,-2.9,6.9
2011-03-09,119,1.1,-1.8,5.4
2011-03-10,119,1.2,-4.7,7.1
2011-03-11,119,3.6,-2.2,10.1
2011-03-12,119,7.2,-0.4,14.6
2011-03-13,119,10.1,3.9,16.9
2011-03-14,119,6.2,3.4,8.7
2011-03-15,119,1.9,-1.9,7.1
2011-03-16,119,0.4,-2.5,4
2011-03-17,119,0.9,-4.9,6.5
2011-03-18,119,5.1,-3.6,13
2011-03-19,119,9.1,5.3,15.4
2011-03-20,119,6.2,3.4,11.1
2011-03-21,119,7.7,4.1,13
2011-03-22,119,2.6,-0.2,7.2
2011-03-23,119,2,-3.9,7.2
2011-03-24,119,3,-0.8,9.2
2011-03-25,119,2.5,-0.9,6.5
2011-03-26,119,3.3,-2,8.1
2011-03-27,119,5,-1.4,10.9
2011-03-28,119,5.3,1.2,9.4
2011-03-29,119,4.2,0.3,9.4
2011-03-30,119,6.7,0.1,14.2
2011-03-31,119,7.7,0,16.9
2011-04-01,119,7.9,0.2,15.6
2011-04-02,119,7.2,2.5,12.6
2011-04-03,119,8.3,1.8,15.4
2011-04-04,119,8.1,1.2,16.5
2011-04-05,119,8.7,1.2,17.5
2011-04-06,119,9.7,0.8,17.4
2011-04-07,119,9.7,7.5,11.5
2011-04-08,119,10.8,6.7,17.3
2011-04-09,119,9,3.5,16.4
2011-04-10,119,10,5.6,16.4
2011-04-11,119,10,6.3,14.7
2011-04-12,119,9.1,2,16.2
2011-04-13,119,10.4,2.7,17.3
2011-04-14,119,11.6,4.2,19.1
2011-04-15,119,12.2,8.6,21
2011-04-16,119,11.1,6.4,17.7
2011-04-17,119,11,4.1,19.6
2011-04-18,119,6.8,5.4,10.4
2011-04-19,119,10.1,6.3,15.8
2011-04-20,119,10.6,4.2,17.7
2011-04-21,119,13.3,6.1,19
2011-04-22,119,9.6,8.4,14.4
2011-04-23,119,9.8,6.3,13.8
2011-04-24,119,9.1,4.5,14.5
2011-04-25,119,11.6,5.7,16.7
2011-04-26,119,10.6,9.6,12
2011-04-27,119,11,6.9,14.6
2011-04-28,119,10.3,6.7,14.9
2011-04-29,119,13,5,19.4
2011-04-30,119,12.8,10.5,14.8
2011-05-01,119,10.8,8.1,13.7
2011-05-02,119,12.6,6.6,19.4
2011-05-03,119,13.1,8.7,19.1
2011-05-04,119,13.6,6.4,21.6
2011-05-05,119,15.4,8.3,22.6
2011-05-06,119,14.6,9.4,18
2011-05-07,119,13.8,11.1,21.7
2011-05-08,119,16.2,10.4,22.7
2011-05-09,119,18,13.9,23.3
2011-05-10,119,16.4,14.5,18.1
2011-05-11,119,16.5,14,19.6
2011-05-12,119,14.9,10.5,20.4
2011-05-13,119,12.6,7.9,18.1
2011-05-14,119,15,8.7,21.7
2011-05-15,119,16.3,10.3,23.1
2011-05-16,119,14.7,8.4,20.9
2011-05-17,119,15.2,7.7,21.4
2011-05-18,119,18.7,10.2,25.1
2011-05-19,119,19.6,16.4,23.5
2011-05-20,119,16.8,14.2,19.9
2011-05-21,119,13.9,12.3,16.9
2011-05-22,119,16.2,10.4,23.1
2011-05-23,119,17,12.2,24.2
2011-05-24,119,17.8,9.2,26.2
2011-05-25,119,20.9,13.6,27
2011-05-26,119,17.8,14.2,21
2011-05-27,119,17.2,12.5,23
2011-05-28,119,18.9,12.4,26.3
2011-05-29,119,20.9,13.8,29
2011-05-30,119,20.1,14.7,25.9
2011-05-31,119,18.2,16,22
2011-06-01,119,16.3,13.8,20.4
2011-06-02,119,16.9,13.2,23.3
2011-06-03,119,17.6,12.7,24.3
2011-06-04,119,17.7,15.4,22.9
2011-06-05,119,18.6,14.1,24.8
2011-06-06,119,18.6,11.7,25.2
2011-06-07,119,18.6,12,25.8
2011-06-08,119,20,14.2,25.9
2011-06-09,119,18.2,16.4,21.3
2011-06-10,119,20.2,15.6,22.9
